;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 15/05/2017 09:18:11
;----------------------------------------------

;Address Opcode 	ASM
0x01B0	0x9E83      	BCF         lcd_d7, BitPos(lcd_d7+0) 
0x01B2	0xD001      	BRA         L__Lcd_Cmd32
L__Lcd_Cmd31:
0x01B4	0x8E83      	BSF         lcd_d7, BitPos(lcd_d7+0) 
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x01B6	0xB479      	BTFSC       FARG_Lcd_Cmd_out_char, 2 
0x01B8	0xD002      	BRA         L__Lcd_Cmd33
0x01BA	0x9C83      	BCF         lcd_d6, BitPos(lcd_d6+0) 
0x01BC	0xD001      	BRA         L__Lcd_Cmd34
L__Lcd_Cmd33:
0x01BE	0x8C83      	BSF         lcd_d6, BitPos(lcd_d6+0) 
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x01C0	0xB279      	BTFSC       FARG_Lcd_Cmd_out_char, 1 
0x01C2	0xD002      	BRA         L__Lcd_Cmd35
0x01C4	0x9A83      	BCF         lcd_d5, BitPos(lcd_d5+0) 
0x01C6	0xD001      	BRA         L__Lcd_Cmd36
L__Lcd_Cmd35:
0x01C8	0x8A83      	BSF         lcd_d5, BitPos(lcd_d5+0) 
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x01CA	0xB079      	BTFSC       FARG_Lcd_Cmd_out_char, 0 
0x01CC	0xD002      	BRA         L__Lcd_Cmd37
0x01CE	0x9883      	BCF         lcd_d4, BitPos(lcd_d4+0) 
0x01D0	0xD001      	BRA         L__Lcd_Cmd38
L__Lcd_Cmd37:
0x01D2	0x8883      	BSF         lcd_d4, BitPos(lcd_d4+0) 
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x01D4	0xB063      	BTFSC       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
0x01D6	0xD002      	BRA         L__Lcd_Cmd39
0x01D8	0x8484      	BSF         lcd_rs, BitPos(lcd_rs+0) 
0x01DA	0xD001      	BRA         L__Lcd_Cmd40
L__Lcd_Cmd39:
0x01DC	0x9484      	BCF         lcd_rs, BitPos(lcd_rs+0) 
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x01DE	0x8284      	BSF         lcd_en, BitPos(lcd_en+0) 
;__Lib_Lcd.c,41 :: 		
0x01E0	0xDFB2      	RCALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x01E2	0x9284      	BCF         lcd_en, BitPos(lcd_en+0) 
;__Lib_Lcd.c,44 :: 		
0x01E4	0xA063      	BTFSS       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
0x01E6	0xD002      	BRA         L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x01E8	0xDF9E      	RCALL       _Delay_5500us
0x01EA	0xD001      	BRA         L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x01EC	0xDFA7      	RCALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x01EE	0x0012      	RETURN      0
; end of _Lcd_Cmd
_SETFOV32:
;__Lib_MathDouble.c,82 :: 		
;__Lib_MathDouble.c,90 :: 		
0x01F0	0x820B      	BSF         R11, 1, 0
;__Lib_MathDouble.c,91 :: 		
0x01F2	0xAE0B      	BTFSS       R11, 7, 0
;__Lib_MathDouble.c,92 :: 		
0x01F4	0xF001EF02  	GOTO        SETFOV32EEE
;__Lib_MathDouble.c,94 :: 		
0x01F8	0x6803      	SETF        R3, 0
;__Lib_MathDouble.c,95 :: 		
0x01FA	0x6802      	SETF        R2, 0
;__Lib_MathDouble.c,96 :: 		
0x01FC	0x6801      	SETF        R1, 0
;__Lib_MathDouble.c,97 :: 		
0x01FE	0x6800      	SETF        R0, 0
;__Lib_MathDouble.c,98 :: 		
0x0200	0x360A      	RLCF        R10, 1, 0
;__Lib_MathDouble.c,99 :: 		
0x0202	0x3202      	RRCF        R2, 1, 0
;__Lib_MathDouble.c,100 :: 		
SETFOV32EEE:
;__Lib_MathDouble.c,101 :: 		
0x0204	0x0EFF      	MOVLW       255
;__Lib_MathDouble.c,103 :: 		
L_end_SETFOV32:
0x0206	0x0012      	RETURN      0
; end of _SETFOV32
_Div_16x16_U:
;__Lib_Math.c,102 :: 		
;__Lib_Math.c,109 :: 		
0x0208	0x6A08      	CLRF        R8, 0
;__Lib_Math.c,110 :: 		
0x020A	0x6A09      	CLRF        R9, 0
;__Lib_Math.c,111 :: 		
0x020C	0x0E10      	MOVLW       16
;__Lib_Math.c,112 :: 		
0x020E	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,113 :: 		
0x0210	0x3401      	RLCF        R1, 0, 0
;__Lib_Math.c,114 :: 		
0x0212	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,115 :: 		
0x0214	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,116 :: 		
0x0216	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,117 :: 		
0x0218	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,118 :: 		
0x021A	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,119 :: 		
0x021C	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,120 :: 		
0x021E	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,121 :: 		
0x0220	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,122 :: 		
0x0222	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,123 :: 		
0x0224	0xD007      	BRA         $+16
;__Lib_Math.c,124 :: 		
0x0226	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,125 :: 		
0x0228	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,126 :: 		
0x022A	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,127 :: 		
0x022C	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,128 :: 		
0x022E	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,129 :: 		
0x0230	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,130 :: 		
0x0232	0x90D8      	BCF         STATUS, 0, 0
;__Lib_Math.c,131 :: 		
0x0234	0x3600      	RLCF        R0, 1, 0
;__Lib_Math.c,132 :: 		
0x0236	0x3601      	RLCF        R1, 1, 0
;__Lib_Math.c,133 :: 		
0x0238	0x2E0C      	DECFSZ      R12, 1, 0
;__Lib_Math.c,134 :: 		
0x023A	0xD7EA      	BRA         $-42
;__Lib_Math.c,136 :: 		
L_end_Div_16x16_U:
0x023C	0x0012      	RETURN      0
; end of _Div_16x16_U
_FIXSIGN32:
;__Lib_MathDouble.c,117 :: 		
;__Lib_MathDouble.c,121 :: 		
0x023E	0xAE0A      	BTFSS       R10, 7, 0
;__Lib_MathDouble.c,122 :: 		
0x0240	0x9E02      	BCF         R2, 7, 0
;__Lib_MathDouble.c,123 :: 		
0x0242	0x0E00      	MOVLW       0
;__Lib_MathDouble.c,125 :: 		
L_end_FIXSIGN32:
0x0244	0x0012      	RETURN      0
; end of _FIXSIGN32
_Delay_22us:
;__Lib_Delays.c,15 :: 		void Delay_22us() {
;__Lib_Delays.c,16 :: 		Delay_us(22);
0x0246	0x0E0E      	MOVLW       14
0x0248	0x6E0D      	MOVWF       R13, 0
L_Delay_22us1:
0x024A	0x2E0D      	DECFSZ      R13, 1, 0
0x024C	0xD7FE      	BRA         L_Delay_22us1
0x024E	0x0000      	NOP
;__Lib_Delays.c,17 :: 		}
L_end_Delay_22us:
0x0250	0x0012      	RETURN      0
; end of _Delay_22us
_SETIOV3224:
;__Lib_MathDouble.c,530 :: 		
;__Lib_MathDouble.c,537 :: 		
0x0252	0x800B      	BSF         R11, 0, 0
;__Lib_MathDouble.c,538 :: 		
0x0254	0xAE0B      	BTFSS       R11, 7, 0
;__Lib_MathDouble.c,539 :: 		
0x0256	0xF001EF35  	GOTO        SETIOV3224EEE
;__Lib_MathDouble.c,541 :: 		
0x025A	0x6A02      	CLRF        R2, 0
;__Lib_MathDouble.c,542 :: 		
0x025C	0xAE0A      	BTFSS       R10, 7, 0
;__Lib_MathDouble.c,543 :: 		
0x025E	0x0EFF      	MOVLW       255
;__Lib_MathDouble.c,544 :: 		
0x0260	0x6E02      	MOVWF       R2, 0
;__Lib_MathDouble.c,545 :: 		
0x0262	0x6E01      	MOVWF       R1, 0
;__Lib_MathDouble.c,546 :: 		
0x0264	0x6E00      	MOVWF       R0, 0
;__Lib_MathDouble.c,547 :: 		
0x0266	0x360A      	RLCF        R10, 1, 0
;__Lib_MathDouble.c,548 :: 		
0x0268	0x3202      	RRCF        R2, 1, 0
;__Lib_MathDouble.c,549 :: 		
SETIOV3224EEE:
;__Lib_MathDouble.c,550 :: 		
0x026A	0x0EFF      	MOVLW       255
;__Lib_MathDouble.c,552 :: 		
L_end_SETIOV3224:
0x026C	0x0012      	RETURN      0
; end of _SETIOV3224
_strcpy:
;__Lib_CString.c,133 :: 		
;__Lib_CString.c,136 :: 		
0x026E	0xF004C072  	MOVFF       FARG_strcpy_to, R4
0x0272	0xF005C073  	MOVFF       FARG_strcpy_to+1, R5
;__Lib_CString.c,137 :: 		
L_strcpy34:
0x0276	0xF002C004  	MOVFF       R4, R2
0x027A	0xF003C005  	MOVFF       R5, R3
0x027E	0x4A04      	INFSNZ      R4, 1 
0x0280	0x2A05      	INCF        R5, 1 
0x0282	0xF000C074  	MOVFF       FARG_strcpy_from, R0
0x0286	0xF001C075  	MOVFF       FARG_strcpy_from+1, R1
0x028A	0x4A74      	INFSNZ      FARG_strcpy_from, 1 
0x028C	0x2A75      	INCF        FARG_strcpy_from+1, 1 
0x028E	0xFFE9C000  	MOVFF       R0, FSR0L
0x0292	0xFFEAC001  	MOVFF       R1, FSR0H
0x0296	0xFFE1C002  	MOVFF       R2, FSR1L
0x029A	0xFFE2C003  	MOVFF       R3, FSR1H
0x029E	0xFFE6CFEE  	MOVFF       POSTINC0, POSTINC1
0x02A2	0xFFE9C002  	MOVFF       R2, FSR0L
0x02A6	0xFFEAC003  	MOVFF       R3, FSR0H
0x02AA	0x52EE      	MOVF        POSTINC0, 1 
0x02AC	0xE001      	BZ          L_strcpy35
;__Lib_CString.c,138 :: 		
0x02AE	0xD7E3      	BRA         L_strcpy34
L_strcpy35:
;__Lib_CString.c,139 :: 		
0x02B0	0xF000C072  	MOVFF       FARG_strcpy_to, R0
0x02B4	0xF001C073  	MOVFF       FARG_strcpy_to+1, R1
;__Lib_CString.c,140 :: 		
L_end_strcpy:
0x02B8	0x0012      	RETURN      0
; end of _strcpy
_Div_8x8_U:
;__Lib_Math.c,77 :: 		
;__Lib_Math.c,84 :: 		
0x02BA	0x6A08      	CLRF        R8, 0
;__Lib_Math.c,85 :: 		
0x02BC	0x0E08      	MOVLW       8
;__Lib_Math.c,86 :: 		
0x02BE	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,87 :: 		
0x02C0	0x3400      	RLCF        R0, 0, 0
;__Lib_Math.c,88 :: 		
0x02C2	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,89 :: 		
0x02C4	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,90 :: 		
0x02C6	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,91 :: 		
0x02C8	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,92 :: 		
0x02CA	0xD002      	BRA         $+6
;__Lib_Math.c,93 :: 		
0x02CC	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,94 :: 		
0x02CE	0x90D8      	BCF         STATUS, 0, 0
;__Lib_Math.c,95 :: 		
0x02D0	0x3600      	RLCF        R0, 1, 0
;__Lib_Math.c,96 :: 		
0x02D2	0x2E0C      	DECFSZ      R12, 1, 0
;__Lib_Math.c,97 :: 		
0x02D4	0xD7F5      	BRA         $-20
;__Lib_Math.c,99 :: 		
L_end_Div_8x8_U:
0x02D6	0x0012      	RETURN      0
; end of _Div_8x8_U
_NRM3232:
;__Lib_MathDouble.c,455 :: 		
;__Lib_MathDouble.c,463 :: 		
0x02D8	0x6A0C      	CLRF        R12, 0
;__Lib_MathDouble.c,464 :: 		
0x02DA	0x6A0E      	CLRF        R14, 0
;__Lib_MathDouble.c,465 :: 		
0x02DC	0x5002      	MOVF        R2, 0, 0
;__Lib_MathDouble.c,466 :: 		
0x02DE	0xA4D8      	BTFSS       STATUS, 2, 0
;__Lib_MathDouble.c,467 :: 		
0x02E0	0xF001EF85  	GOTO        NORM3232
;__Lib_MathDouble.c,468 :: 		
0x02E4	0xF002C001  	MOVFF       R1, R2
;__Lib_MathDouble.c,469 :: 		
0x02E8	0xF001C000  	MOVFF       R0, R1
;__Lib_MathDouble.c,470 :: 		
0x02EC	0x6A00      	CLRF        R0, 0
;__Lib_MathDouble.c,471 :: 		
0x02EE	0x860E      	BSF         R14, 3, 0
;__Lib_MathDouble.c,473 :: 		
0x02F0	0x5002      	MOVF        R2, 0, 0
;__Lib_MathDouble.c,474 :: 		
0x02F2	0xA4D8      	BTFSS       STATUS, 2, 0
;__Lib_MathDouble.c,475 :: 		
0x02F4	0xF001EF85  	GOTO        NORM3232
;__Lib_MathDouble.c,476 :: 		
0x02F8	0xF002C001  	MOVFF       R1, R2
;__Lib_MathDouble.c,477 :: 		
0x02FC	0x6A01      	CLRF        R1, 0
;__Lib_MathDouble.c,478 :: 		
0x02FE	0x960E      	BCF         R14, 3, 0
;__Lib_MathDouble.c,479 :: 		
0x0300	0x880E      	BSF         R14, 4, 0
;__Lib_MathDouble.c,481 :: 		
0x0302	0x5002      	MOVF        R2, 0, 0
;__Lib_MathDouble.c,482 :: 		
0x0304	0xB4D8      	BTFSC       STATUS, 2, 0
;__Lib_MathDouble.c,483 :: 		
0x0306	0xF001EF97  	GOTO        JPNRES032
;__Lib_MathDouble.c,484 :: 		
NORM3232:
;__Lib_MathDouble.c,485 :: 		
0x030A	0x500E      	MOVF        R14, 0, 0
;__Lib_MathDouble.c,486 :: 		
0x030C	0x5E03      	SUBWF       R3, 1, 0
;__Lib_MathDouble.c,487 :: 		
0x030E	0xA4D8      	BTFSS       STATUS, 2, 0
;__Lib_MathDouble.c,488 :: 		
0x0310	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_MathDouble.c,489 :: 		
0x0312	0xF001EF9C  	GOTO        JPNSETFUN32
;__Lib_MathDouble.c,490 :: 		
0x0316	0x90D8      	BCF         STATUS, 0, 0
;__Lib_MathDouble.c,491 :: 		
NORM3232A:
;__Lib_MathDouble.c,492 :: 		
0x0318	0xBE02      	BTFSC       R2, 7, 0
;__Lib_MathDouble.c,493 :: 		
0x031A	0xF001EFA1  	GOTO        JMPNFIXSIGN32
