;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 17/04/2017 09:56:42
;----------------------------------------------

;Address Opcode 	ASM
0x00D0	0xF0EFC000  	MOVFF       R0, _timer2
0x00D4	0xF0F0C001  	MOVFF       R1, _timer2+1
0x00D8	0xF0F1C002  	MOVFF       R2, _timer2+2
0x00DC	0xF0F2C003  	MOVFF       R3, _timer2+3
;alarme.c,73 :: 		}
L_interrupt0:
;alarme.c,75 :: 		if(INTCON.RBIF)
0x00E0	0xA0F2      	BTFSS       INTCON, 0 
0x00E2	0xD025      	BRA         L_interrupt2
;alarme.c,77 :: 		if(/*edge == 1 && */(timer > 0.02))
0x00E4	0xF004C0EA  	MOVFF       _timer, R4
0x00E8	0xF005C0EB  	MOVFF       _timer+1, R5
0x00EC	0xF006C0EC  	MOVFF       _timer+2, R6
0x00F0	0xF007C0ED  	MOVFF       _timer+3, R7
0x00F4	0x0E0A      	MOVLW       10
0x00F6	0x6E00      	MOVWF       R0 
0x00F8	0x0ED7      	MOVLW       215
0x00FA	0x6E01      	MOVWF       R1 
0x00FC	0x0E23      	MOVLW       35
0x00FE	0x6E02      	MOVWF       R2 
0x0100	0x0E79      	MOVLW       121
0x0102	0x6E03      	MOVWF       R3 
0x0104	0xF006ECB0  	CALL        _Compare_Double, 0
0x0108	0x0E01      	MOVLW       1
0x010A	0xB0D8      	BTFSC       STATUS, 0 
0x010C	0x0E00      	MOVLW       0
0x010E	0x6E00      	MOVWF       R0 
0x0110	0x5200      	MOVF        R0, 1 
0x0112	0xE006      	BZ          L_interrupt3
;alarme.c,79 :: 		keypadHandler();
0x0114	0xF00AEC17  	CALL        _keypadHandler, 0
;alarme.c,80 :: 		timer = 0;
0x0118	0x6BEA      	CLRF        _timer, 1
0x011A	0x6BEB      	CLRF        _timer+1, 1
0x011C	0x6BEC      	CLRF        _timer+2, 1
0x011E	0x6BED      	CLRF        _timer+3, 1
;alarme.c,81 :: 		}
L_interrupt3:
0x0120	0x0100      	MOVLB       0
;alarme.c,83 :: 		edge = !edge;
0x0122	0x53D3      	MOVF        _edge, 1, 1
0x0124	0x0E01      	MOVLW       1
0x0126	0xA4D8      	BTFSS       STATUS, 2 
0x0128	0x0E00      	MOVLW       0
0x012A	0x6FD3      	MOVWF       _edge, 1
;alarme.c,84 :: 		INTCON.RBIF = 0;
0x012C	0x90F2      	BCF         INTCON, 0 
;alarme.c,85 :: 		}
L_interrupt2:
;alarme.c,86 :: 		}
L_end_interrupt:
L__interrupt80:
0x012E	0xFFF5C01C  	MOVFF       28, TABLAT
0x0132	0xFFF8C019  	MOVFF       25, TBLPTRU
0x0136	0xFFF7C01A  	MOVFF       26, TBLPTRH
0x013A	0xFFF6C01B  	MOVFF       27, 4086
0x013E	0xF000C018  	MOVFF       24, R0
0x0142	0xF001C017  	MOVFF       23, R1
0x0146	0xF00CC016  	MOVFF       22, R12
0x014A	0xF00DC015  	MOVFF       21, R13
0x014E	0x0011      	RETFIE      1
; end of _interrupt
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x0150	0x0E0F      	MOVLW       15
0x0152	0x6E0C      	MOVWF       R12, 0
0x0154	0x0E47      	MOVLW       71
0x0156	0x6E0D      	MOVWF       R13, 0
L_Delay_5500us5:
0x0158	0x2E0D      	DECFSZ      R13, 1, 0
0x015A	0xD7FE      	BRA         L_Delay_5500us5
0x015C	0x2E0C      	DECFSZ      R12, 1, 0
0x015E	0xD7FC      	BRA         L_Delay_5500us5
0x0160	0x0000      	NOP
0x0162	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x0164	0x0012      	RETURN      0
; end of _Delay_5500us
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x0166	0x0000      	NOP
0x0168	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x016A	0x0012      	RETURN      0
; end of _Delay_1us
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x016C	0x0E21      	MOVLW       33
0x016E	0x6E0D      	MOVWF       R13, 0
L_Delay_50us2:
0x0170	0x2E0D      	DECFSZ      R13, 1, 0
0x0172	0xD7FE      	BRA         L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x0174	0x0012      	RETURN      0
; end of _Delay_50us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x0176	0x0101      	MOVLB       1
0x0178	0xBFD2      	BTFSC       FARG_Lcd_Cmd_out_char, 7, 1
0x017A	0xD002      	BRA         L__Lcd_Cmd21
0x017C	0x9E83      	BCF         LCD_D7, BitPos(LCD_D7+0) 
0x017E	0xD001      	BRA         L__Lcd_Cmd22
L__Lcd_Cmd21:
0x0180	0x8E83      	BSF         LCD_D7, BitPos(LCD_D7+0) 
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x0182	0xBDD2      	BTFSC       FARG_Lcd_Cmd_out_char, 6, 1
0x0184	0xD002      	BRA         L__Lcd_Cmd23
0x0186	0x9C83      	BCF         LCD_D6, BitPos(LCD_D6+0) 
0x0188	0xD001      	BRA         L__Lcd_Cmd24
L__Lcd_Cmd23:
0x018A	0x8C83      	BSF         LCD_D6, BitPos(LCD_D6+0) 
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x018C	0xBBD2      	BTFSC       FARG_Lcd_Cmd_out_char, 5, 1
0x018E	0xD002      	BRA         L__Lcd_Cmd25
0x0190	0x9A83      	BCF         LCD_D5, BitPos(LCD_D5+0) 
0x0192	0xD001      	BRA         L__Lcd_Cmd26
L__Lcd_Cmd25:
0x0194	0x8A83      	BSF         LCD_D5, BitPos(LCD_D5+0) 
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x0196	0xB9D2      	BTFSC       FARG_Lcd_Cmd_out_char, 4, 1
0x0198	0xD002      	BRA         L__Lcd_Cmd27
0x019A	0x9883      	BCF         LCD_D4, BitPos(LCD_D4+0) 
0x019C	0xD001      	BRA         L__Lcd_Cmd28
L__Lcd_Cmd27:
0x019E	0x8883      	BSF         LCD_D4, BitPos(LCD_D4+0) 
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x01A0	0x0100      	MOVLB       0
0x01A2	0xB1F8      	BTFSC       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0), 1
0x01A4	0xD002      	BRA         L__Lcd_Cmd29
0x01A6	0x8484      	BSF         LCD_RS, BitPos(LCD_RS+0) 
0x01A8	0xD001      	BRA         L__Lcd_Cmd30
L__Lcd_Cmd29:
0x01AA	0x9484      	BCF         LCD_RS, BitPos(LCD_RS+0) 
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x01AC	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,29 :: 		
0x01AE	0xDFDB      	RCALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x01B0	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,33 :: 		
0x01B2	0x0101      	MOVLB       1
0x01B4	0xB7D2      	BTFSC       FARG_Lcd_Cmd_out_char, 3, 1
0x01B6	0xD002      	BRA         L__Lcd_Cmd31
0x01B8	0x9E83      	BCF         LCD_D7, BitPos(LCD_D7+0) 
0x01BA	0xD001      	BRA         L__Lcd_Cmd32
L__Lcd_Cmd31:
0x01BC	0x8E83      	BSF         LCD_D7, BitPos(LCD_D7+0) 
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x01BE	0xB5D2      	BTFSC       FARG_Lcd_Cmd_out_char, 2, 1
0x01C0	0xD002      	BRA         L__Lcd_Cmd33
0x01C2	0x9C83      	BCF         LCD_D6, BitPos(LCD_D6+0) 
0x01C4	0xD001      	BRA         L__Lcd_Cmd34
L__Lcd_Cmd33:
0x01C6	0x8C83      	BSF         LCD_D6, BitPos(LCD_D6+0) 
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x01C8	0xB3D2      	BTFSC       FARG_Lcd_Cmd_out_char, 1, 1
0x01CA	0xD002      	BRA         L__Lcd_Cmd35
0x01CC	0x9A83      	BCF         LCD_D5, BitPos(LCD_D5+0) 
0x01CE	0xD001      	BRA         L__Lcd_Cmd36
L__Lcd_Cmd35:
0x01D0	0x8A83      	BSF         LCD_D5, BitPos(LCD_D5+0) 
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x01D2	0xB1D2      	BTFSC       FARG_Lcd_Cmd_out_char, 0, 1
0x01D4	0xD002      	BRA         L__Lcd_Cmd37
0x01D6	0x9883      	BCF         LCD_D4, BitPos(LCD_D4+0) 
0x01D8	0xD001      	BRA         L__Lcd_Cmd38
L__Lcd_Cmd37:
0x01DA	0x8883      	BSF         LCD_D4, BitPos(LCD_D4+0) 
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x01DC	0x0100      	MOVLB       0
0x01DE	0xB1F8      	BTFSC       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0), 1
0x01E0	0xD002      	BRA         L__Lcd_Cmd39
0x01E2	0x8484      	BSF         LCD_RS, BitPos(LCD_RS+0) 
0x01E4	0xD001      	BRA         L__Lcd_Cmd40
L__Lcd_Cmd39:
0x01E6	0x9484      	BCF         LCD_RS, BitPos(LCD_RS+0) 
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x01E8	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,41 :: 		
0x01EA	0xDFBD      	RCALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x01EC	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,44 :: 		
0x01EE	0xA1F8      	BTFSS       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0), 1
0x01F0	0xD002      	BRA         L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x01F2	0xDFAE      	RCALL       _Delay_5500us
0x01F4	0xD001      	BRA         L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x01F6	0xDFBA      	RCALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x01F8	0x0012      	RETURN      0
; end of _Lcd_Cmd
_RES032:
;__Lib_MathDouble.c,128 :: 		
;__Lib_MathDouble.c,134 :: 		
0x01FA	0x6A02      	CLRF        R2, 0
;__Lib_MathDouble.c,135 :: 		
0x01FC	0x6A01      	CLRF        R1, 0
;__Lib_MathDouble.c,136 :: 		
0x01FE	0x6A00      	CLRF        R0, 0
;__Lib_MathDouble.c,137 :: 		
0x0200	0x6A08      	CLRF        R8, 0
;__Lib_MathDouble.c,138 :: 		
0x0202	0x6A03      	CLRF        R3, 0
;__Lib_MathDouble.c,139 :: 		
0x0204	0x0E00      	MOVLW       0
;__Lib_MathDouble.c,141 :: 		
L_end_RES032:
0x0206	0x0012      	RETURN      0
; end of _RES032
_Div_16x16_U:
;__Lib_Math.c,102 :: 		
;__Lib_Math.c,109 :: 		
0x0208	0x6A08      	CLRF        R8, 0
;__Lib_Math.c,110 :: 		
0x020A	0x6A09      	CLRF        R9, 0
;__Lib_Math.c,111 :: 		
0x020C	0x0E10      	MOVLW       16
;__Lib_Math.c,112 :: 		
0x020E	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,113 :: 		
0x0210	0x3401      	RLCF        R1, 0, 0
;__Lib_Math.c,114 :: 		
0x0212	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,115 :: 		
0x0214	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,116 :: 		
0x0216	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,117 :: 		
0x0218	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,118 :: 		
0x021A	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,119 :: 		
0x021C	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,120 :: 		
0x021E	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,121 :: 		
0x0220	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,122 :: 		
0x0222	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,123 :: 		
0x0224	0xD007      	BRA         $+16
;__Lib_Math.c,124 :: 		
0x0226	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,125 :: 		
0x0228	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,126 :: 		
0x022A	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,127 :: 		
0x022C	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,128 :: 		
0x022E	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,129 :: 		
0x0230	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,130 :: 		
0x0232	0x90D8      	BCF         STATUS, 0, 0
;__Lib_Math.c,131 :: 		
0x0234	0x3600      	RLCF        R0, 1, 0
;__Lib_Math.c,132 :: 		
0x0236	0x3601      	RLCF        R1, 1, 0
;__Lib_Math.c,133 :: 		
0x0238	0x2E0C      	DECFSZ      R12, 1, 0
;__Lib_Math.c,134 :: 		
0x023A	0xD7EA      	BRA         $-42
;__Lib_Math.c,136 :: 		
L_end_Div_16x16_U:
0x023C	0x0012      	RETURN      0
; end of _Div_16x16_U
_SETFUN32:
;__Lib_MathDouble.c,144 :: 		
;__Lib_MathDouble.c,152 :: 		
0x023E	0x840B      	BSF         R11, 2, 0
;__Lib_MathDouble.c,153 :: 		
0x0240	0xAE0B      	BTFSS       R11, 7, 0
;__Lib_MathDouble.c,154 :: 		
0x0242	0xF001EF2A  	GOTO        SETFUN32EEE
;__Lib_MathDouble.c,156 :: 		
0x0246	0x0E01      	MOVLW       1
;__Lib_MathDouble.c,157 :: 		
0x0248	0x6E03      	MOVWF       R3, 0
;__Lib_MathDouble.c,158 :: 		
0x024A	0x6A02      	CLRF        R2, 0
;__Lib_MathDouble.c,159 :: 		
0x024C	0x6A01      	CLRF        R1, 0
;__Lib_MathDouble.c,160 :: 		
0x024E	0x6A00      	CLRF        R0, 0
;__Lib_MathDouble.c,161 :: 		
0x0250	0x360A      	RLCF        R10, 1, 0
;__Lib_MathDouble.c,162 :: 		
0x0252	0x3202      	RRCF        R2, 1, 0
;__Lib_MathDouble.c,163 :: 		
SETFUN32EEE:
;__Lib_MathDouble.c,164 :: 		
0x0254	0x0EFF      	MOVLW       255
;__Lib_MathDouble.c,166 :: 		
L_end_SETFUN32:
0x0256	0x0012      	RETURN      0
; end of _SETFUN32
_FIXSIGN32:
;__Lib_MathDouble.c,117 :: 		
;__Lib_MathDouble.c,121 :: 		
0x0258	0xAE0A      	BTFSS       R10, 7, 0
;__Lib_MathDouble.c,122 :: 		
0x025A	0x9E02      	BCF         R2, 7, 0
;__Lib_MathDouble.c,123 :: 		
0x025C	0x0E00      	MOVLW       0
;__Lib_MathDouble.c,125 :: 		
L_end_FIXSIGN32:
0x025E	0x0012      	RETURN      0
; end of _FIXSIGN32
_SETFOV32:
;__Lib_MathDouble.c,82 :: 		
;__Lib_MathDouble.c,90 :: 		
0x0260	0x820B      	BSF         R11, 1, 0
;__Lib_MathDouble.c,91 :: 		
0x0262	0xAE0B      	BTFSS       R11, 7, 0
;__Lib_MathDouble.c,92 :: 		
0x0264	0xF001EF3A  	GOTO        SETFOV32EEE
;__Lib_MathDouble.c,94 :: 		
0x0268	0x6803      	SETF        R3, 0
;__Lib_MathDouble.c,95 :: 		
0x026A	0x6802      	SETF        R2, 0
;__Lib_MathDouble.c,96 :: 		
0x026C	0x6801      	SETF        R1, 0
;__Lib_MathDouble.c,97 :: 		
0x026E	0x6800      	SETF        R0, 0
;__Lib_MathDouble.c,98 :: 		
0x0270	0x360A      	RLCF        R10, 1, 0
;__Lib_MathDouble.c,99 :: 		
0x0272	0x3202      	RRCF        R2, 1, 0
;__Lib_MathDouble.c,100 :: 		
SETFOV32EEE:
;__Lib_MathDouble.c,101 :: 		
0x0274	0x0EFF      	MOVLW       255
;__Lib_MathDouble.c,103 :: 		
L_end_SETFOV32:
0x0276	0x0012      	RETURN      0
; end of _SETFOV32
_WordToStr:
;__Lib_Conversions.c,84 :: 		
;__Lib_Conversions.c,89 :: 		
0x0278	0x0101      	MOVLB       1
0x027A	0x6BCF      	CLRF        WordToStr_len_L0, 1
L_WordToStr6:
0x027C	0x0E05      	MOVLW       5
0x027E	0x5DCF      	SUBWF       WordToStr_len_L0, 0, 1
0x0280	0xE20A      	BC          L_WordToStr7
;__Lib_Conversions.c,90 :: 		
0x0282	0x51CF      	MOVF        WordToStr_len_L0, 0, 1
0x0284	0x25CD      	ADDWF       FARG_WordToStr_output, 0, 1
0x0286	0x6EE1      	MOVWF       FSR1L 
0x0288	0x0E00      	MOVLW       0
0x028A	0x21CE      	ADDWFC      FARG_WordToStr_output+1, 0, 1
0x028C	0x6EE2      	MOVWF       FSR1H 
0x028E	0x0E20      	MOVLW       32
0x0290	0x6EE6      	MOVWF       POSTINC1 
;__Lib_Conversions.c,89 :: 		
0x0292	0x2BCF      	INCF        WordToStr_len_L0, 1, 1
;__Lib_Conversions.c,90 :: 		
0x0294	0xD7F3      	BRA         L_WordToStr6
L_WordToStr7:
;__Lib_Conversions.c,91 :: 		
0x0296	0x51CF      	MOVF        WordToStr_len_L0, 0, 1
0x0298	0x25CD      	ADDWF       FARG_WordToStr_output, 0, 1
0x029A	0x6EE1      	MOVWF       FSR1L 
0x029C	0x0E00      	MOVLW       0
0x029E	0x21CE      	ADDWFC      FARG_WordToStr_output+1, 0, 1
0x02A0	0x6EE2      	MOVWF       FSR1H 
0x02A2	0x6AE6      	CLRF        POSTINC1 
0x02A4	0x07CF      	DECF        WordToStr_len_L0, 1, 1
;__Lib_Conversions.c,93 :: 		
L_WordToStr9:
;__Lib_Conversions.c,94 :: 		
0x02A6	0x51CF      	MOVF        WordToStr_len_L0, 0, 1
0x02A8	0x25CD      	ADDWF       FARG_WordToStr_output, 0, 1
0x02AA	0x6FD0      	MOVWF       FLOC__WordToStr, 1
0x02AC	0x0E00      	MOVLW       0
0x02AE	0x21CE      	ADDWFC      FARG_WordToStr_output+1, 0, 1
0x02B0	0x6FD1      	MOVWF       FLOC__WordToStr+1, 1
0x02B2	0x0E0A      	MOVLW       10
0x02B4	0x6E04      	MOVWF       R4 
0x02B6	0x0E00      	MOVLW       0
0x02B8	0x6E05      	MOVWF       R5 
0x02BA	0xF000C1CB  	MOVFF       FARG_WordToStr_input, R0
0x02BE	0xF001C1CC  	MOVFF       FARG_WordToStr_input+1, R1
0x02C2	0xDFA2      	RCALL       _Div_16x16_U
0x02C4	0xF000C008  	MOVFF       R8, R0
0x02C8	0xF001C009  	MOVFF       R9, R1
0x02CC	0x0E30      	MOVLW       48
0x02CE	0x2600      	ADDWF       R0, 1 
0x02D0	0xFFE1C1D0  	MOVFF       FLOC__WordToStr, FSR1L
0x02D4	0xFFE2C1D1  	MOVFF       FLOC__WordToStr+1, FSR1H
0x02D8	0xFFE6C000  	MOVFF       R0, POSTINC1
;__Lib_Conversions.c,95 :: 		
0x02DC	0x0E0A      	MOVLW       10
0x02DE	0x6E04      	MOVWF       R4 
0x02E0	0x0E00      	MOVLW       0
0x02E2	0x6E05      	MOVWF       R5 
0x02E4	0xF000C1CB  	MOVFF       FARG_WordToStr_input, R0
0x02E8	0xF001C1CC  	MOVFF       FARG_WordToStr_input+1, R1
0x02EC	0xDF8D      	RCALL       _Div_16x16_U
0x02EE	0xF1CBC000  	MOVFF       R0, FARG_WordToStr_input
0x02F2	0xF1CCC001  	MOVFF       R1, FARG_WordToStr_input+1
;__Lib_Conversions.c,96 :: 		
0x02F6	0x0E00      	MOVLW       0
0x02F8	0x1801      	XORWF       R1, 0 
0x02FA	0xE102      	BNZ         L__WordToStr109
0x02FC	0x0E00      	MOVLW       0
0x02FE	0x1800      	XORWF       R0, 0 
L__WordToStr109:
0x0300	0xE101      	BNZ         L_WordToStr11
;__Lib_Conversions.c,97 :: 		
0x0302	0xD002      	BRA         L_WordToStr10
L_WordToStr11:
;__Lib_Conversions.c,98 :: 		
0x0304	0x07CF      	DECF        WordToStr_len_L0, 1, 1
;__Lib_Conversions.c,99 :: 		
0x0306	0xD7CF      	BRA         L_WordToStr9
L_WordToStr10:
;__Lib_Conversions.c,100 :: 		
L_end_WordToStr:
0x0308	0x0012      	RETURN      0
; end of _WordToStr
_SETFDZ32:
;__Lib_MathDouble.c,106 :: 		
;__Lib_MathDouble.c,110 :: 		
0x030A	0x6A0B      	CLRF        R11, 0
;__Lib_MathDouble.c,111 :: 		
0x030C	0x860B      	BSF         R11, 3, 0
;__Lib_MathDouble.c,112 :: 		
0x030E	0x0EFF      	MOVLW       255
;__Lib_MathDouble.c,114 :: 		
L_end_SETFDZ32:
0x0310	0x0012      	RETURN      0
; end of _SETFDZ32
_NRM3232:
;__Lib_MathDouble.c,455 :: 		
;__Lib_MathDouble.c,463 :: 		
0x0312	0x6A0C      	CLRF        R12, 0
;__Lib_MathDouble.c,464 :: 		
0x0314	0x6A0E      	CLRF        R14, 0
;__Lib_MathDouble.c,465 :: 		
0x0316	0x5002      	MOVF        R2, 0, 0
;__Lib_MathDouble.c,466 :: 		
0x0318	0xA4D8      	BTFSS       STATUS, 2, 0
;__Lib_MathDouble.c,467 :: 		
0x031A	0xF001EFA2  	GOTO        NORM3232
;__Lib_MathDouble.c,468 :: 		
0x031E	0xF002C001  	MOVFF       R1, R2
;__Lib_MathDouble.c,469 :: 		
0x0322	0xF001C000  	MOVFF       R0, R1
;__Lib_MathDouble.c,470 :: 		
0x0326	0x6A00      	CLRF        R0, 0
;__Lib_MathDouble.c,471 :: 		
0x0328	0x860E      	BSF         R14, 3, 0
;__Lib_MathDouble.c,473 :: 		
0x032A	0x5002      	MOVF        R2, 0, 0
;__Lib_MathDouble.c,474 :: 		
0x032C	0xA4D8      	BTFSS       STATUS, 2, 0
;__Lib_MathDouble.c,475 :: 		
0x032E	0xF001EFA2  	GOTO        NORM3232
;__Lib_MathDouble.c,476 :: 		
0x0332	0xF002C001  	MOVFF       R1, R2
;__Lib_MathDouble.c,477 :: 		
0x0336	0x6A01      	CLRF        R1, 0
;__Lib_MathDouble.c,478 :: 		
0x0338	0x960E      	BCF         R14, 3, 0
;__Lib_MathDouble.c,479 :: 		
0x033A	0x880E      	BSF         R14, 4, 0
;__Lib_MathDouble.c,481 :: 		
0x033C	0x5002      	MOVF        R2, 0, 0
;__Lib_MathDouble.c,482 :: 		
0x033E	0xB4D8      	BTFSC       STATUS, 2, 0
;__Lib_MathDouble.c,483 :: 		
0x0340	0xF001EFB4  	GOTO        JPNRES032
